Indicator	PUBLISH STATES	Year	WHO region	World Bank income group	Country	Sex	Display Value	Numeric	Low	High	Comments
Life expectancy at birth (years)	Published	2012	Africa	Lower-middle-income	Angola	Male	50	50.0			
Life expectancy at birth (years)	Published	2000	Africa	Lower-middle-income	Angola	Both sexes	46	46.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Lower-middle-income	Angola	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	1990	Europe	Lower-middle-income	Albania	Male	67	67.0			
Life expectancy at birth (years)	Published	2012	Europe	Lower-middle-income	Albania	Both sexes	74	74.0			
Life expectancy at age 60 (years)	Published	2000	Europe	Lower-middle-income	Albania	Both sexes	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Europe	Lower-middle-income	Albania	Both sexes	19	19.0			
Life expectancy at birth (years)	Published	2000	Europe	Lower-middle-income	Armenia	Female	74	74.0			
Life expectancy at birth (years)	Published	1990	Europe	Lower-middle-income	Armenia	Both sexes	67	67.0			
Life expectancy at age 60 (years)	Published	2012	Europe	Lower-middle-income	Armenia	Female	19	19.0			
Life expectancy at age 60 (years)	Published	1990	Europe	Lower-middle-income	Armenia	Both sexes	16	16.0			
Life expectancy at age 60 (years)	Published	2000	Europe	Lower-middle-income	Azerbaijan	Male	16	16.0			
Life expectancy at birth (years)	Published	1990	Americas	Lower-middle-income	Belize	Female	74	74.0			
Life expectancy at birth (years)	Published	2012	Americas	Lower-middle-income	Belize	Both sexes	75	75.0			
Life expectancy at age 60 (years)	Published	1990	Americas	Lower-middle-income	Belize	Male	18	18.0			
Life expectancy at age 60 (years)	Published	2000	Americas	Lower-middle-income	Belize	Male	17	17.0			
Life expectancy at birth (years)	Published	2000	Americas	Lower-middle-income	Bolivia (Plurinational State of)	Male	61	61.0			
Life expectancy at birth (years)	Published	1990	Americas	Lower-middle-income	Bolivia (Plurinational State of)	Both sexes	58	58.0			
Life expectancy at birth (years)	Published	2012	Americas	Lower-middle-income	Bolivia (Plurinational State of)	Both sexes	68	68.0			
Life expectancy at age 60 (years)	Published	1990	Americas	Lower-middle-income	Bolivia (Plurinational State of)	Male	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Americas	Lower-middle-income	Bolivia (Plurinational State of)	Female	20	20.0			
Life expectancy at age 60 (years)	Published	1990	Americas	Lower-middle-income	Bolivia (Plurinational State of)	Both sexes	17	17.0			
Life expectancy at age 60 (years)	Published	1990	South-East Asia	Lower-middle-income	Bhutan	Female	16	16.0			
Life expectancy at age 60 (years)	Published	2000	South-East Asia	Lower-middle-income	Bhutan	Female	17	17.0			
Life expectancy at age 60 (years)	Published	2012	South-East Asia	Lower-middle-income	Bhutan	Female	19	19.0			
Life expectancy at age 60 (years)	Published	1990	South-East Asia	Lower-middle-income	Bhutan	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	Lower-middle-income	China	Male	74	74.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	Lower-middle-income	China	Female	73	73.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	Lower-middle-income	China	Female	19	19.0			
Life expectancy at birth (years)	Published	1990	Africa	Lower-middle-income	Côte d'Ivoire	Male	50	50.0			
Life expectancy at birth (years)	Published	2012	Africa	Lower-middle-income	Côte d'Ivoire	Male	52	52.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Lower-middle-income	Côte d'Ivoire	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Lower-middle-income	Côte d'Ivoire	Male	15	15.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Lower-middle-income	Côte d'Ivoire	Female	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Lower-middle-income	Côte d'Ivoire	Both sexes	16	16.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Lower-middle-income	Cameroon	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Lower-middle-income	Cameroon	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2000	Africa	Lower-middle-income	Congo	Both sexes	52	52.0			
Life expectancy at birth (years)	Published	2012	Africa	Lower-middle-income	Congo	Both sexes	59	59.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Lower-middle-income	Congo	Female	17	17.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Lower-middle-income	Congo	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	1990	Africa	Lower-middle-income	Cabo Verde	Female	68	68.0			
Life expectancy at birth (years)	Published	2012	Africa	Lower-middle-income	Cabo Verde	Female	78	78.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Lower-middle-income	Cabo Verde	Female	18	18.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Lower-middle-income	Cabo Verde	Female	19	19.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Lower-middle-income	Cabo Verde	Female	22	22.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Djibouti	Female	59	59.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Djibouti	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Djibouti	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	1990	Americas	Lower-middle-income	Ecuador	Male	67	67.0			
Life expectancy at birth (years)	Published	2000	Americas	Lower-middle-income	Ecuador	Both sexes	73	73.0			
Life expectancy at birth (years)	Published	2012	Americas	Lower-middle-income	Ecuador	Both sexes	75	75.0			
Life expectancy at age 60 (years)	Published	1990	Americas	Lower-middle-income	Ecuador	Male	19	19.0			
Life expectancy at age 60 (years)	Published	1990	Americas	Lower-middle-income	Ecuador	Both sexes	20	20.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Egypt	Female	74	74.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Egypt	Both sexes	71	71.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Lower-middle-income	Micronesia (Federated States of)	Female	67	67.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Lower-middle-income	Micronesia (Federated States of)	Both sexes	66	66.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	Lower-middle-income	Micronesia (Federated States of)	Female	18	18.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	Lower-middle-income	Micronesia (Federated States of)	Both sexes	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Europe	Lower-middle-income	Georgia	Male	17	17.0			
Life expectancy at age 60 (years)	Published	1990	Europe	Lower-middle-income	Georgia	Female	20	20.0			
Life expectancy at age 60 (years)	Published	2000	Europe	Lower-middle-income	Georgia	Female	20	20.0			
Life expectancy at birth (years)	Published	2012	Americas	Lower-middle-income	Guatemala	Male	68	68.0			
Life expectancy at birth (years)	Published	2000	Americas	Lower-middle-income	Guyana	Both sexes	65	65.0			
Life expectancy at age 60 (years)	Published	1990	Americas	Lower-middle-income	Guyana	Both sexes	16	16.0			
Life expectancy at age 60 (years)	Published	2000	Americas	Lower-middle-income	Guyana	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	2000	Americas	Lower-middle-income	Honduras	Both sexes	71	71.0			
Life expectancy at age 60 (years)	Published	1990	Americas	Lower-middle-income	Honduras	Female	20	20.0			
Life expectancy at age 60 (years)	Published	2000	Americas	Lower-middle-income	Honduras	Female	22	22.0			
Life expectancy at age 60 (years)	Published	1990	Americas	Lower-middle-income	Honduras	Both sexes	19	19.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Lower-middle-income	Indonesia	Male	69	69.0			
Life expectancy at birth (years)	Published	1990	South-East Asia	Lower-middle-income	Indonesia	Female	64	64.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Lower-middle-income	Indonesia	Female	73	73.0			
Life expectancy at age 60 (years)	Published	2000	South-East Asia	Lower-middle-income	Indonesia	Male	16	16.0			
Life expectancy at age 60 (years)	Published	1990	South-East Asia	Lower-middle-income	Indonesia	Female	17	17.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Lower-middle-income	India	Male	64	64.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Lower-middle-income	India	Both sexes	66	66.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Iran (Islamic Republic of)	Both sexes	64	64.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Iran (Islamic Republic of)	Male	18	18.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Iran (Islamic Republic of)	Both sexes	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Jordan	Male	18	18.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Jordan	Female	18	18.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Jordan	Female	19	19.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	Lower-middle-income	Kiribati	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	Lower-middle-income	Kiribati	Male	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	Lower-middle-income	Kiribati	Both sexes	17	17.0			
Life expectancy at age 60 (years)	Published	1990	South-East Asia	Lower-middle-income	Sri Lanka	Male	18	18.0			
Life expectancy at age 60 (years)	Published	1990	South-East Asia	Lower-middle-income	Sri Lanka	Both sexes	19	19.0			
Life expectancy at birth (years)	Published	1990	Africa	Lower-middle-income	Lesotho	Male	59	59.0			
Life expectancy at birth (years)	Published	2000	Africa	Lower-middle-income	Lesotho	Both sexes	48	48.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Lower-middle-income	Lesotho	Female	17	17.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Morocco	Female	66	66.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Morocco	Female	70	70.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Morocco	Female	73	73.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	Lower-middle-income	Morocco	Female	18	18.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Morocco	Female	19	19.0			
Life expectancy at birth (years)	Published	2000	Europe	Lower-middle-income	Republic of Moldova	Male	64	64.0			
Life expectancy at birth (years)	Published	2012	Europe	Lower-middle-income	Republic of Moldova	Male	66	66.0			
Life expectancy at birth (years)	Published	1990	Europe	Lower-middle-income	Republic of Moldova	Female	72	72.0			
Life expectancy at age 60 (years)	Published	1990	Europe	Lower-middle-income	Republic of Moldova	Female	19	19.0			
Life expectancy at birth (years)	Published	1990	South-East Asia	Lower-middle-income	Maldives	Male	60	60.0			
Life expectancy at age 60 (years)	Published	2000	South-East Asia	Lower-middle-income	Maldives	Male	16	16.0			
Life expectancy at age 60 (years)	Published	2012	South-East Asia	Lower-middle-income	Maldives	Male	20	20.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	Lower-middle-income	Marshall Islands	Both sexes	66	66.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	Lower-middle-income	Marshall Islands	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	Lower-middle-income	Mongolia	Both sexes	63	63.0			
Life expectancy at birth (years)	Published	2000	Americas	Lower-middle-income	Nicaragua	Male	70	70.0			
Life expectancy at birth (years)	Published	2012	Americas	Lower-middle-income	Nicaragua	Male	70	70.0			
Life expectancy at birth (years)	Published	1990	Americas	Lower-middle-income	Nicaragua	Female	74	74.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Pakistan	Male	59	59.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Lower-middle-income	Pakistan	Both sexes	60	60.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	Lower-middle-income	Pakistan	Both sexes	65	65.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Andorra	Female	83	83.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	High-income	United Arab Emirates	Female	75	75.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	High-income	United Arab Emirates	Female	18	18.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	High-income	United Arab Emirates	Female	19	19.0			
Life expectancy at birth (years)	Published	1990	Americas	High-income	Antigua and Barbuda	Male	70	70.0			
Life expectancy at birth (years)	Published	2012	Americas	High-income	Antigua and Barbuda	Male	73	73.0			
Life expectancy at birth (years)	Published	1990	Americas	High-income	Antigua and Barbuda	Female	72	72.0			
Life expectancy at age 60 (years)	Published	2000	Americas	High-income	Antigua and Barbuda	Male	20	20.0			
Life expectancy at age 60 (years)	Published	1990	Americas	High-income	Antigua and Barbuda	Female	18	18.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	Australia	Male	74	74.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	High-income	Australia	Male	77	77.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	High-income	Australia	Male	19	19.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	High-income	Australia	Both sexes	21	21.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	High-income	Australia	Both sexes	23	23.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	High-income	Australia	Both sexes	25	25.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Austria	Both sexes	78	78.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Austria	Both sexes	81	81.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Austria	Female	24	24.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Austria	Both sexes	21	21.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Austria	Both sexes	22	22.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Belgium	Female	81	81.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Belgium	Male	21	21.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	High-income	Bahrain	Female	76	76.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	High-income	Bahrain	Male	18	18.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	High-income	Bahrain	Female	19	19.0			
Life expectancy at birth (years)	Published	1990	Americas	High-income	Bahamas	Male	69	69.0			
Life expectancy at birth (years)	Published	2000	Americas	High-income	Bahamas	Both sexes	73	73.0			
Life expectancy at age 60 (years)	Published	2000	Americas	High-income	Bahamas	Male	18	18.0			
Life expectancy at age 60 (years)	Published	2012	Americas	High-income	Bahamas	Male	19	19.0			
Life expectancy at birth (years)	Published	1990	Americas	High-income	Barbados	Both sexes	74	74.0			
Life expectancy at birth (years)	Published	2000	Americas	High-income	Barbados	Both sexes	75	75.0			
Life expectancy at age 60 (years)	Published	1990	Americas	High-income	Barbados	Male	18	18.0			
Life expectancy at age 60 (years)	Published	1990	Americas	High-income	Barbados	Both sexes	20	20.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	Brunei Darussalam	Female	75	75.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	High-income	Brunei Darussalam	Female	79	79.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	High-income	Brunei Darussalam	Both sexes	18	18.0			
Life expectancy at birth (years)	Published	1990	Americas	High-income	Canada	Female	81	81.0			
Life expectancy at birth (years)	Published	2012	Americas	High-income	Canada	Female	84	84.0			
Life expectancy at age 60 (years)	Published	2012	Americas	High-income	Canada	Male	23	23.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Switzerland	Male	77	77.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Switzerland	Male	81	81.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Switzerland	Female	81	81.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Switzerland	Male	19	19.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Switzerland	Both sexes	25	25.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	Cook Islands	Both sexes	69	69.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	High-income	Cook Islands	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Cyprus	Female	84	84.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Cyprus	Female	22	22.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Cyprus	Both sexes	20	20.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Czech Republic	Male	19	19.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Czech Republic	Female	19	19.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Germany	Male	78	78.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Germany	Male	22	22.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Germany	Female	22	22.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Germany	Both sexes	24	24.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Denmark	Male	72	72.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Denmark	Male	75	75.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Denmark	Both sexes	77	77.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Spain	Male	73	73.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Spain	Both sexes	77	77.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Spain	Both sexes	79	79.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Spain	Female	27	27.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Finland	Female	81	81.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Finland	Male	17	17.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	France	Male	73	73.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	France	Male	20	20.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	France	Both sexes	23	23.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	United Kingdom of Great Britain and Northern Ireland	Male	73	73.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	United Kingdom of Great Britain and Northern Ireland	Both sexes	78	78.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	United Kingdom of Great Britain and Northern Ireland	Both sexes	21	21.0			
Life expectancy at age 60 (years)	Published	1990	Africa	High-income	Equatorial Guinea	Both sexes	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Greece	Male	22	22.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Greece	Female	23	23.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Croatia	Male	71	71.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Croatia	Male	74	74.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Croatia	Female	76	76.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Croatia	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Croatia	Male	19	19.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Hungary	Both sexes	69	69.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Hungary	Both sexes	17	17.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Ireland	Female	21	21.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Iceland	Male	81	81.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Iceland	Female	82	82.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Iceland	Male	24	24.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Iceland	Female	25	25.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Israel	Male	80	80.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Israel	Male	23	23.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Italy	Both sexes	80	80.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Italy	Both sexes	21	21.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	Japan	Both sexes	79	79.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	High-income	Japan	Both sexes	84	84.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	High-income	Japan	Female	27	27.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	High-income	Republic of Korea	Female	27	27.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	High-income	Kuwait	Male	78	78.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	High-income	Kuwait	Female	74	74.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Luxembourg	Both sexes	78	78.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Monaco	Male	20	20.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Monaco	Female	27	27.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Monaco	Both sexes	22	22.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Monaco	Both sexes	25	25.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Malta	Female	83	83.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Malta	Both sexes	78	78.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Malta	Female	21	21.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Netherlands	Male	76	76.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Netherlands	Male	79	79.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Netherlands	Female	81	81.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Norway	Male	74	74.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Norway	Male	18	18.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Norway	Male	22	22.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Norway	Both sexes	24	24.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	Nauru	Male	69	69.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	High-income	Nauru	Both sexes	79	79.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	High-income	Nauru	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	High-income	Nauru	Both sexes	23	23.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	High-income	New Zealand	Female	84	84.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	New Zealand	Both sexes	76	76.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	High-income	Oman	Female	19	19.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Portugal	Male	71	71.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Portugal	Male	73	73.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Portugal	Male	77	77.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Portugal	Female	78	78.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	High-income	Qatar	Both sexes	79	79.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	High-income	Qatar	Male	19	19.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	High-income	Saudi Arabia	Female	19	19.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	High-income	Saudi Arabia	Female	21	21.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	High-income	Saudi Arabia	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	High-income	Singapore	Female	81	81.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	San Marino	Female	83	83.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	San Marino	Male	24	24.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Slovakia	Male	69	69.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Slovakia	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Slovakia	Male	16	16.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Slovakia	Both sexes	19	19.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Sweden	Female	81	81.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Sweden	Female	82	82.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Sweden	Female	84	84.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Sweden	Both sexes	80	80.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Sweden	Female	23	23.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Sweden	Female	24	24.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Sweden	Both sexes	21	21.0			
Life expectancy at age 60 (years)	Published	2000	Americas	High-income	Trinidad and Tobago	Male	15	15.0			
Life expectancy at birth (years)	Published	1990	Americas	High-income	United States of America	Male	72	72.0			
Life expectancy at birth (years)	Published	2012	Americas	High-income	United States of America	Both sexes	79	79.0			
Life expectancy at age 60 (years)	Published	2000	Americas	High-income	United States of America	Male	20	20.0			
Life expectancy at age 60 (years)	Published	2012	Americas	High-income	United States of America	Both sexes	23	23.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Low-income	Afghanistan	Both sexes	49	49.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	Low-income	Afghanistan	Female	15	15.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Burundi	Male	54	54.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Burundi	Female	57	57.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Burundi	Female	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Burundi	Female	17	17.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Benin	Male	57	57.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Benin	Female	56	56.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Benin	Both sexes	59	59.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Benin	Male	14	14.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Benin	Male	14	14.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Burkina Faso	Male	14	14.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Burkina Faso	Male	14	14.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Burkina Faso	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	1990	South-East Asia	Low-income	Bangladesh	Both sexes	60	60.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Central African Republic	Female	46	46.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Central African Republic	Male	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Democratic Republic of the Congo	Male	47	47.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Democratic Republic of the Congo	Male	50	50.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Democratic Republic of the Congo	Female	51	51.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Democratic Republic of the Congo	Male	14	14.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Comoros	Male	54	54.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Comoros	Both sexes	15	15.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Eritrea	Both sexes	12	12.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Eritrea	Both sexes	14	14.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Eritrea	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Ethiopia	Female	48	48.0			
